name,date,prv,open,high,low,price,volume,daily_volume,par,ceiling,floor,chg_amt,chg_pct
IVL,2022-05-11,43.75,44.00,45.25,43.25,44.25,15983744,705607.12,1.00,56.75,30.75,+0.50,+1.14%
JASIF,2022-05-11,11.00,11.00,11.10,10.90,10.90,24427856,268133.49,9.85,14.30,7.70,-0.10,-0.91%
JMART,2022-05-11,57.50,57.00,57.25,54.50,54.75,10781528,596698.50,1.00,74.75,40.25,-2.75,-4.78%
JMT,2022-05-11,78.00,77.75,77.75,72.50,72.75,27993629,2081997.47,0.50,101.00,54.75,-5.25,-6.73%
JWD,2022-05-11,15.50,15.60,15.60,15.00,15.00,2103615,32041.01,0.50,20.10,10.90,-0.50,-3.23%
KBANK,2022-05-11,147.00,146.50,146.50,144.00,145.50,13090173,1899854.60,10.00,191.00,103.00,-1.50,-1.02%
KCE,2022-05-11,59.75,59.50,62.00,59.25,61.75,17445787,1069629.13,0.50,77.50,42.00,+2.00,+3.35%
KEX,2022-05-11,19.90,20.10,20.20,19.60,19.70,3193456,63509.33,0.50,25.75,14.00,-0.20,-1.01%
KGI,2022-05-11,5.30,5.35,5.35,5.20,5.20,4545682,23799.14,1.00,6.85,3.72,-0.10,-1.89%
KKP,2022-05-11,71.50,71.50,71.50,69.75,70.75,3690845,260080.46,10.00,92.75,50.25,-0.75,-1.05%
KSL,2022-05-11,3.60,3.60,3.60,3.52,3.52,1930760,6824.19,0.50,4.68,2.52,-0.08,-2.22%
KTB,2022-05-11,15.10,15.10,15.10,14.70,14.90,54139861,804520.01,5.15,19.60,10.60,-0.20,-1.32%
KTC,2022-05-11,58.00,58.25,58.75,57.50,58.25,5450696,317280.14,1.00,75.25,40.75,+0.25,+0.43%
KYE,2022-05-11,366.00,365.00,365.00,364.00,364.00,1102,402.05,10.00,474.00,257.00,-2.00,-0.55%
LALIN,2022-05-11,9.10,9.10,9.15,8.95,9.15,272755,2473.70,1.00,11.80,6.40,+0.05,+0.55%
LANNA,2022-05-11,18.90,19.30,19.30,18.50,18.50,4705111,88317.02,1.00,24.50,13.30,-0.40,-2.12%
