name,date,pe,yield,eps,div,pbv,dividend,market_cap,shares,max_price,min_price,NVDR
DRT,2022-06-10,11.10,6.09,0.22,0.24,2.76,N/A,6455.50,855033100,9.20,7.05,-4100
DTAC,2022-06-10,32.50,4.69,0.31,1.05,5.76,N/A,105959.54,2367811000,51.50,28.75,-108400
EA,2022-06-10,54.37,0.34,0.37,0.30,9.75,N/A,329172.50,3730000000,105.50,57.00,4076800
EASTW,2022-06-10,11.20,6.61,0.15,0.24,0.92,N/A,10564.65,1663725149,10.50,6.00,-480000
ECL,2022-06-10,16.13,2.92,0.05,0.08,1.61,N/A,3038.27,1108859002,3.82,1.56,-494300
EGATIF,2022-06-10,0,6.20,0.00,0.1171,0.92,N/A,18039.58,2085500000,12.50,8.55,N/A
EGCO,2022-06-10,12.21,3.67,7.82,3.25,0.78,N/A,93184.30,526465000,187.00,160.00,11000
EPG,2022-06-10,17.71,3.27,0.57,0.19,2.40,N/A,28280.00,2800000000,13.70,8.60,448600
ESSO,2022-06-10,5.59,N/,1.70,0.00,1.68,N/A,42222.47,3460858000,12.40,7.00,-5366800
FORTH,2022-06-10,54.61,0.99,0.25,0.30,21.82,N/A,43440.00,960000000,53.00,10.00,-30300
FSMART,2022-06-10,41.36,2.27,0.11,0.20,12.65,N/A,15834.00,780000000,28.00,9.65,-216200
GC,2022-06-10,16.30,4.34,0.14,0.125,4.89,10:1,2992.00,439999864,7.45,4.32,-108200
GFPT,2022-06-10,35.26,0.59,0.36,0.10,1.42,N/A,21314.96,1253821000,17.40,10.60,237400
GGC,2022-06-10,21.38,2.32,0.48,0.35,1.48,N/A,15457.37,1023666700,15.60,9.90,1000
GLOBAL,2022-06-10,29.07,1.14,0.25,0.2548309179,4.96,23:1,102757.17,4801736733,23.70,17.63,958800
GPSC,2022-06-10,32.52,2.30,0.11,1.00,1.69,N/A,183987.34,2819729367,89.75,59.50,632400
GRAMMY,2022-06-10,0,N/,-0.19,0.00,7.78,N/A,9429.42,819949729,18.90,10.00,N/A
GULF,2022-06-10,59.71,0.92,0.29,0.44,5.44,N/A,563191.20,11733149998,52.75,32.75,336900
GUNKUL,2022-06-10,24.67,3.05,0.06,0.12,3.93,N/A,52406.93,8882530974,7.20,3.88,4538300
GVREIT,2022-06-10,0,8.39,0.00,0.192,0.82,N/A,7455.42,814800000,11.00,9.05,N/A
HANA,2022-06-10,22.38,4.47,0.45,1.00,1.55,N/A,36018.33,804878860,96.25,43.00,-217200
HFT,2022-06-10,10.71,6.16,0.15,0.425,1.25,N/A,4543.20,658434300,9.75,6.35,-64700
HMPRO,2022-06-10,32.94,2.29,0.11,0.20,7.54,N/A,184116.77,13151198025,16.60,12.40,7209300
HTC,2022-06-10,12.46,5.87,0.52,0.96,1.65,N/A,6129.30,200960500,40.00,28.50,-200
ICHI,2022-06-10,22.36,5.49,0.08,0.50,1.88,N/A,11830.00,1300000000,13.30,8.65,381100
ILM,2022-06-10,20.81,2.85,0.32,0.40,1.78,N/A,9746.50,505000000,25.00,12.80,-151100
IMH,2022-06-10,6.45,5.49,0.50,0.90,3.67,N/A,3526.00,215000000,23.30,5.85,-36000
IMPACT,2022-06-10,0,0.63,0.00,0.05,1.47,N/A,23720.00,1482500000,20.40,14.40,N/A
INGRS,2022-06-10,0,N/,-0.14,0.00,0.73,N/A,998.39,1446942690,1.30,0.57,-147200
INOX,2022-06-10,8.80,8.77,0.05,0.107,0.93,N/A,9510.77,7795709100,1.85,1.00,-3229700
INTUCH,2022-06-10,21.10,4.04,0.80,1.60,5.88,N/A,224468.14,3206687685,90.75,60.00,80300
IP,2022-06-10,53.72,N/,0.10,0.00,7.91,N/A,6258.22,298010524,24.17,17.80,165900
IRPC,2022-06-10,6.86,6.29,0.07,0.14,0.80,N/A,71520.47,20434419246,4.76,3.06,38610100
IVL,2022-06-10,8.38,1.95,2.47,0.40,1.62,N/A,287745.79,5614551908,52.00,36.00,113100
JASIF,2022-06-10,0,8.72,0.00,0.23,0.98,N/A,87200.00,8000000000,11.30,9.70,N/A
JMART,2022-06-10,32.92,2.55,0.23,1.06,4.54,N/A,80965.24,1414239990,64.00,30.50,715100
JMT,2022-06-10,72.24,0.97,0.27,0.42,4.86,N/A,107237.40,1459012275,88.25,39.32,1015500
JWD,2022-06-10,26.76,1.71,0.12,0.25,3.94,N/A,14892.00,1019999943,24.40,11.60,416900
KBANK,2022-06-10,9.17,2.17,4.58,2.75,0.73,N/A,354214.48,2369327593,175.00,101.00,-774800
KCE,2022-06-10,30.22,2.49,0.50,1.00,5.43,N/A,75929.37,1181780096,95.00,53.50,596700
KEX,2022-06-10,0,3.36,-0.28,0.743,4.37,N/A,38510.95,1742577000,43.50,18.90,-205200
KGI,2022-06-10,7.02,10.68,0.16,0.55,1.31,N/A,10257.58,1991763130,8.10,5.00,-121600
KKP,2022-06-10,8.21,4.40,2.43,2.20,1.07,N/A,56732.32,846751109,76.25,49.75,1579200
KSL,2022-06-10,28.01,N/,0.17,0.03,0.89,N/A,17905.54,4410232619,4.60,3.18,-1013000
KTB,2022-06-10,8.91,2.65,0.63,0.418,0.61,N/A,220821.77,13976061250,15.90,9.90,-1801800
KTC,2022-06-10,26.35,1.63,0.68,1.00,5.52,N/A,157922.96,2578334070,72.75,52.75,582000
KYE,2022-06-10,20.91,7.09,17.02,25.25,0.88,N/A,7048.80,19800000,458.00,352.00,N/A
LALIN,2022-06-10,6.22,6.70,0.35,0.335,1.01,N/A,8694.99,924999441,11.80,8.10,-22900
LANNA,2022-06-10,5.55,7.77,1.17,1.00,1.72,N/A,10814.99,524999679,29.00,14.60,584800
LH,2022-06-10,14.43,5.81,0.16,0.25,1.99,N/A,102767.53,11949713176,9.90,7.70,8415400
LHFG,2022-06-10,21.90,2.89,0.02,0.01,0.76,N/A,29233.45,21183660594,1.69,1.04,-1065400
LHK,2022-06-10,8.25,14.25,0.55,0.45,1.16,N/A,1746.48,383000000,6.10,3.20,-700
LIT,2022-06-10,0,N/,-0.05,0.00,0.85,N/A,1001.02,442931237,3.64,1.94,56200
LPF,2022-06-10,0,5.06,0.00,0.1873,1.06,N/A,31319.59,2337282928,17.00,10.30,N/A
LPH,2022-06-10,7.32,5.13,0.21,0.10,2.28,N/A,4212.00,720000000,6.90,5.10,1900
LPN,2022-06-10,18.12,3.25,0.13,0.05,0.58,N/A,6817.73,1475698768,5.80,4.26,-57500
M,2022-06-10,150.05,1.57,0.29,0.80,3.49,N/A,46964.78,920878100,57.50,48.50,-2600
MACO,2022-06-10,166.76,N/,0.00,0.00,1.43,N/A,5601.40,8117972121,1.07,0.45,-1333600
MAJOR,2022-06-10,10.73,7.73,0.03,0.60,2.54,N/A,18519.62,894667502,26.25,17.90,185400
MAKRO,2022-06-10,26.63,1.42,0.19,0.32,1.29,N/A,372956.40,10580323500,57.25,33.75,-321600
MBAX,2022-06-10,13.75,4.72,0.09,0.30,2.15,N/A,1218.53,191895141,6.75,4.92,141500
MC,2022-06-10,19.63,5.82,0.46,0.32,2.11,N/A,7484.40,792000000,10.10,8.70,7200
MCS,2022-06-10,4.06,10.33,0.55,0.50,1.31,N/A,5867.10,477000000,16.20,11.70,-125700
MEGA,2022-06-10,20.26,2.67,0.70,0.86,5.25,N/A,45119.25,871869508,56.50,34.75,94400
