name,market,price,max_price,min_price,pe,pbv,paid_up,market_cap,daily_volume,beta,ticker_id,created_at,updated_at
KBANK,SET50 / SETCLMV / SETTHSI,146.5,175.0,101.0,8.98,0.71,999.99,347106.49,1898717.6,4.58,253,2022-05-27,2022-05-27
KCE,SET50,65.0,95.0,53.5,30.57,5.5,999.99,76815.71,1352944.98,0.5,256,2022-05-27,2022-05-27
KEX,SET100 / SETTHSI / SETWB,22.9,43.75,18.9,0.0,4.53,999.99,39905.01,314089.14,-0.28,717,2022-05-27,2022-05-27
KGI,sSET,5.2,8.4,5.0,7.09,1.32,999.99,10357.17,7791.84,0.16,259,2022-05-27,2022-05-27
KKP,SET100 / SETCLMV / SETHD / SETTHSI,70.75,76.25,49.75,8.67,1.13,999.99,59907.64,307587.92,2.43,262,2022-05-27,2022-05-27
KSL,SETCLMV,3.9,4.84,3.18,26.9,0.86,999.99,17199.91,40333.3,0.08,264,2022-05-27,2022-05-27
KTB,SET50 / SETHD / SETTHSI,15.0,15.3,9.9,8.46,0.58,999.99,209640.92,436287.28,0.63,265,2022-05-27,2022-05-27
KTC,SET50 / SETTHSI,61.0,75.0,52.75,26.25,5.5,999.99,157278.38,380234.24,0.68,266,2022-05-27,2022-05-27
KYE,SET,357.0,458.0,352.0,20.97,0.88,999.99,7068.6,643.18,17.02,270,2022-05-27,2022-05-27
LALIN,sSET,9.3,11.8,8.1,6.16,1.0,999.99,8602.49,8328.04,0.35,271,2022-05-27,2022-05-27
LANNA,sSET,19.1,29.0,11.2,5.15,1.59,999.99,10027.49,28762.65,1.17,272,2022-05-27,2022-05-27
LH,SET50 / SETHD,8.75,9.9,7.7,14.68,2.02,999.99,104559.99,218097.64,0.16,275,2022-05-27,2022-05-27
LHFG,SET,1.26,1.69,1.03,19.99,0.69,999.99,26691.41,5487.23,0.02,276,2022-05-27,2022-05-27
LHK,SET,5.85,5.95,3.2,10.58,1.49,999.99,2240.55,230910.25,0.55,278,2022-05-27,2022-05-27
